2022-10-05 13:23:36,813 [main] INFO  ? (?:?) - using logger: com.alibaba.dubbo.common.logger.log4j.Log4jLoggerAdapter
2022-10-05 13:23:37,353 [DubboShutdownHook] INFO  com.alibaba.dubbo.config.AbstractConfig$1 (AbstractConfig.java:81) -  [DUBBO] Run shutdown hook now., dubbo version: 2.6.2, current host: 192.168.1.3
2022-10-05 13:23:37,355 [DubboShutdownHook] INFO  com.alibaba.dubbo.registry.support.AbstractRegistryFactory (AbstractRegistryFactory.java:64) -  [DUBBO] Close all registries [], dubbo version: 2.6.2, current host: 192.168.1.3
2022-11-14 11:37:59,009 [main] INFO  ? (?:?) - using logger: com.alibaba.dubbo.common.logger.log4j.Log4jLoggerAdapter
2022-11-14 11:38:00,293 [DubboShutdownHook] INFO  com.alibaba.dubbo.config.AbstractConfig$1 (AbstractConfig.java:81) -  [DUBBO] Run shutdown hook now., dubbo version: 2.6.2, current host: 192.168.1.3
2022-11-14 11:38:00,297 [DubboShutdownHook] INFO  com.alibaba.dubbo.registry.support.AbstractRegistryFactory (AbstractRegistryFactory.java:64) -  [DUBBO] Close all registries [], dubbo version: 2.6.2, current host: 192.168.1.3
2022-11-14 11:41:11,105 [main] INFO  ? (?:?) - using logger: com.alibaba.dubbo.common.logger.log4j.Log4jLoggerAdapter
2022-11-14 11:41:15,713 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:200) -  [DUBBO] Load registry store file C:\Users\Administrator\.dubbo\dubbo-registry-dubbo-admin-127.0.0.1:2181.cache, data: {*/mapping:*=empty://192.168.1.3/mapping?category=consumers&check=false&classifier=*&enabled=*&group=*&interface=mapping&version=* empty://192.168.1.3/mapping?category=routers&check=false&classifier=*&enabled=*&group=*&interface=mapping&version=* empty://192.168.1.3/mapping?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=mapping&version=* empty://192.168.1.3/mapping?category=providers&check=false&classifier=*&enabled=*&group=*&interface=mapping&version=*, */metadata:*=empty://192.168.1.3/metadata?category=consumers&check=false&classifier=*&enabled=*&group=*&interface=metadata&version=* empty://192.168.1.3/metadata?category=routers&check=false&classifier=*&enabled=*&group=*&interface=metadata&version=* empty://192.168.1.3/metadata?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=metadata&version=* empty://192.168.1.3/metadata?category=providers&check=false&classifier=*&enabled=*&group=*&interface=metadata&version=*, */org.apache.dubbo.mock.api.MockService:*=empty://192.168.1.3/org.apache.dubbo.mock.api.MockService?category=consumers&check=false&classifier=*&enabled=*&group=*&interface=org.apache.dubbo.mock.api.MockService&version=* empty://192.168.1.3/org.apache.dubbo.mock.api.MockService?category=routers&check=false&classifier=*&enabled=*&group=*&interface=org.apache.dubbo.mock.api.MockService&version=* empty://192.168.1.3/org.apache.dubbo.mock.api.MockService?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=org.apache.dubbo.mock.api.MockService&version=* empty://192.168.1.3/org.apache.dubbo.mock.api.MockService?category=providers&check=false&classifier=*&enabled=*&group=*&interface=org.apache.dubbo.mock.api.MockService&version=*, */com.zr.wwj.HelloService:*=empty://192.168.1.3/com.zr.wwj.HelloService?category=consumers&check=false&classifier=*&enabled=*&group=*&interface=com.zr.wwj.HelloService&version=* empty://192.168.1.3/com.zr.wwj.HelloService?category=routers&check=false&classifier=*&enabled=*&group=*&interface=com.zr.wwj.HelloService&version=* empty://192.168.1.3/com.zr.wwj.HelloService?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=com.zr.wwj.HelloService&version=* empty://192.168.1.3/com.zr.wwj.HelloService?category=providers&check=false&classifier=*&enabled=*&group=*&interface=com.zr.wwj.HelloService&version=*, */config:*=empty://192.168.1.3/config?category=consumers&check=false&classifier=*&enabled=*&group=*&interface=config&version=* empty://192.168.1.3/config?category=routers&check=false&classifier=*&enabled=*&group=*&interface=config&version=* empty://192.168.1.3/config?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=config&version=* empty://192.168.1.3/config?category=providers&check=false&classifier=*&enabled=*&group=*&interface=config&version=*}, dubbo version: 2.6.2, current host: 192.168.1.3
2022-11-14 11:41:16,353 [localhost-startStop-1] INFO  com.alibaba.dubbo.config.ReferenceConfig (ReferenceConfig.java:425) -  [DUBBO] Refer dubbo service com.alibaba.dubbo.registry.RegistryService from url zookeeper://127.0.0.1:2181/com.alibaba.dubbo.registry.RegistryService?application=dubbo-admin&dubbo=2.6.2&pid=9764&refer=application%3Ddubbo-admin%26check%3Dfalse%26dubbo%3D2.6.2%26interface%3Dcom.alibaba.dubbo.registry.RegistryService%26methods%3Dlookup%2Csubscribe%2Cunsubscribe%2Cunregister%2Cregister%26pid%3D9764%26register.ip%3D192.168.1.3%26revision%3D2.6.2%26side%3Dconsumer%26timestamp%3D1668397275512&timestamp=1668397275628, dubbo version: 2.6.2, current host: 192.168.1.3
2022-11-14 11:41:16,447 [localhost-startStop-1] INFO  com.alibaba.dubboadmin.governance.sync.RegistryServerSync (RegistryServerSync.java:78) -  [DUBBO] Init Dubbo Admin Sync Cache..., dubbo version: 2.6.2, current host: 192.168.1.3
2022-11-14 11:41:16,451 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:298) -  [DUBBO] Subscribe: admin://192.168.1.3?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=*&version=*, dubbo version: 2.6.2, current host: 192.168.1.3
2022-11-14 11:41:16,776 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:298) -  [DUBBO] Subscribe: admin://192.168.1.3/mapping?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=mapping&version=*, dubbo version: 2.6.2, current host: 192.168.1.3
2022-11-14 11:41:16,852 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:387) -  [DUBBO] Notify urls for subscribe url admin://192.168.1.3/mapping?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=mapping&version=*, urls: [empty://192.168.1.3/mapping?category=providers&check=false&classifier=*&enabled=*&group=*&interface=mapping&version=*, empty://192.168.1.3/mapping?category=consumers&check=false&classifier=*&enabled=*&group=*&interface=mapping&version=*, empty://192.168.1.3/mapping?category=routers&check=false&classifier=*&enabled=*&group=*&interface=mapping&version=*, empty://192.168.1.3/mapping?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=mapping&version=*], dubbo version: 2.6.2, current host: 192.168.1.3
2022-11-14 11:41:16,855 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:298) -  [DUBBO] Subscribe: admin://192.168.1.3/metadata?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=metadata&version=*, dubbo version: 2.6.2, current host: 192.168.1.3
2022-11-14 11:41:16,896 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:387) -  [DUBBO] Notify urls for subscribe url admin://192.168.1.3/metadata?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=metadata&version=*, urls: [empty://192.168.1.3/metadata?category=providers&check=false&classifier=*&enabled=*&group=*&interface=metadata&version=*, empty://192.168.1.3/metadata?category=consumers&check=false&classifier=*&enabled=*&group=*&interface=metadata&version=*, empty://192.168.1.3/metadata?category=routers&check=false&classifier=*&enabled=*&group=*&interface=metadata&version=*, empty://192.168.1.3/metadata?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=metadata&version=*], dubbo version: 2.6.2, current host: 192.168.1.3
2022-11-14 11:41:16,898 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:298) -  [DUBBO] Subscribe: admin://192.168.1.3/org.apache.dubbo.mock.api.MockService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=org.apache.dubbo.mock.api.MockService&version=*, dubbo version: 2.6.2, current host: 192.168.1.3
2022-11-14 11:41:16,923 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:387) -  [DUBBO] Notify urls for subscribe url admin://192.168.1.3/org.apache.dubbo.mock.api.MockService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=org.apache.dubbo.mock.api.MockService&version=*, urls: [empty://192.168.1.3/org.apache.dubbo.mock.api.MockService?category=providers&check=false&classifier=*&enabled=*&group=*&interface=org.apache.dubbo.mock.api.MockService&version=*, empty://192.168.1.3/org.apache.dubbo.mock.api.MockService?category=consumers&check=false&classifier=*&enabled=*&group=*&interface=org.apache.dubbo.mock.api.MockService&version=*, empty://192.168.1.3/org.apache.dubbo.mock.api.MockService?category=routers&check=false&classifier=*&enabled=*&group=*&interface=org.apache.dubbo.mock.api.MockService&version=*, empty://192.168.1.3/org.apache.dubbo.mock.api.MockService?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=org.apache.dubbo.mock.api.MockService&version=*], dubbo version: 2.6.2, current host: 192.168.1.3
2022-11-14 11:41:16,924 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:298) -  [DUBBO] Subscribe: admin://192.168.1.3/config?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=config&version=*, dubbo version: 2.6.2, current host: 192.168.1.3
2022-11-14 11:41:16,950 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:387) -  [DUBBO] Notify urls for subscribe url admin://192.168.1.3/config?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=config&version=*, urls: [empty://192.168.1.3/config?category=providers&check=false&classifier=*&enabled=*&group=*&interface=config&version=*, empty://192.168.1.3/config?category=consumers&check=false&classifier=*&enabled=*&group=*&interface=config&version=*, empty://192.168.1.3/config?category=routers&check=false&classifier=*&enabled=*&group=*&interface=config&version=*, empty://192.168.1.3/config?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=config&version=*], dubbo version: 2.6.2, current host: 192.168.1.3
2022-11-14 11:41:16,951 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:298) -  [DUBBO] Subscribe: admin://192.168.1.3/com.zr.wwj.HelloService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.zr.wwj.HelloService&version=*, dubbo version: 2.6.2, current host: 192.168.1.3
2022-11-14 11:41:16,975 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:387) -  [DUBBO] Notify urls for subscribe url admin://192.168.1.3/com.zr.wwj.HelloService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.zr.wwj.HelloService&version=*, urls: [empty://192.168.1.3/com.zr.wwj.HelloService?category=providers&check=false&classifier=*&enabled=*&group=*&interface=com.zr.wwj.HelloService&version=*, empty://192.168.1.3/com.zr.wwj.HelloService?category=consumers&check=false&classifier=*&enabled=*&group=*&interface=com.zr.wwj.HelloService&version=*, empty://192.168.1.3/com.zr.wwj.HelloService?category=routers&check=false&classifier=*&enabled=*&group=*&interface=com.zr.wwj.HelloService&version=*, empty://192.168.1.3/com.zr.wwj.HelloService?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=com.zr.wwj.HelloService&version=*], dubbo version: 2.6.2, current host: 192.168.1.3
2022-11-14 11:41:20,562 [main] INFO  com.alibaba.dubboadmin.SpringUtil (SpringUtil.java:33) -  [DUBBO] set applicationcontext, dubbo version: 2.6.2, current host: 192.168.1.3
2022-11-14 11:42:29,148 [http-nio-7001-exec-1] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /dubbo-admin, dubbo version: 2.6.2, current host: 192.168.1.3
2022-11-14 11:42:38,989 [http-nio-7001-exec-4] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /dubbo-admin, dubbo version: 2.6.2, current host: 192.168.1.3
2022-11-14 11:42:39,546 [http-nio-7001-exec-5] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /favicon.ico, dubbo version: 2.6.2, current host: 192.168.1.3
2022-11-14 11:42:47,721 [http-nio-7001-exec-6] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /, dubbo version: 2.6.2, current host: 192.168.1.3
2022-11-14 11:42:48,105 [http-nio-7001-exec-7] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /css/common.css, dubbo version: 2.6.2, current host: 192.168.1.3
2022-11-14 11:42:48,110 [http-nio-7001-exec-8] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /css/skin.css, dubbo version: 2.6.2, current host: 192.168.1.3
2022-11-14 11:42:48,113 [http-nio-7001-exec-9] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /css/dubbo.css, dubbo version: 2.6.2, current host: 192.168.1.3
2022-11-14 11:42:48,124 [http-nio-7001-exec-2] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /js/trcolor.js, dubbo version: 2.6.2, current host: 192.168.1.3
2022-11-14 11:42:48,115 [http-nio-7001-exec-1] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /js/box.js, dubbo version: 2.6.2, current host: 192.168.1.3
2022-11-14 11:42:48,114 [http-nio-7001-exec-10] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /js/ajax.js, dubbo version: 2.6.2, current host: 192.168.1.3
